day,infected_population,recovered_population,city_id,data_role
31,749.5381796402058,2474.7757212020756,city8,evaluation_only
32,732.2722120507268,2597.359764851755,city8,evaluation_only
33,741.9719498581884,2702.966887224211,city8,evaluation_only
34,743.5921707177224,2809.492437973932,city8,evaluation_only
35,728.4825164498824,2909.9236472658263,city8,evaluation_only
36,720.6760084822101,3015.064957021252,city8,evaluation_only
37,705.0775238120151,3118.9425329295705,city8,evaluation_only
38,704.9572599630467,3214.1332908063273,city8,evaluation_only
39,678.8524193021852,3322.3231442779806,city8,evaluation_only
40,660.2877370936545,3412.7480465896574,city8,evaluation_only
41,637.5517089391462,3513.8208714493985,city8,evaluation_only
42,618.8645651210289,3612.273617835068,city8,evaluation_only
43,606.5835577713226,3699.7447149706645,city8,evaluation_only
44,586.6145135388686,3778.4910276436913,city8,evaluation_only
45,561.4484205012469,3854.144655672171,city8,evaluation_only
46,545.7476216219186,3929.1345064938237,city8,evaluation_only
47,513.7473049629293,3994.237770275505,city8,evaluation_only
48,491.7187858725304,4071.8027764775015,city8,evaluation_only
49,484.8162090470185,4137.720718059603,city8,evaluation_only
50,481.049898521939,4203.375184951074,city8,evaluation_only
51,476.436329848278,4260.323031444692,city8,evaluation_only
52,452.82996811674195,4329.458223113964,city8,evaluation_only
53,429.5184308277914,4396.102319362866,city8,evaluation_only
54,405.4097274315249,4457.651611605861,city8,evaluation_only
55,392.6668476602146,4516.439870266396,city8,evaluation_only
56,382.2645978884303,4571.238794379954,city8,evaluation_only
57,362.77579133609726,4631.4653297734185,city8,evaluation_only
58,345.2894778502943,4692.639633120014,city8,evaluation_only
59,322.3754032595446,4750.419305532071,city8,evaluation_only
60,321.1878029584613,4790.369371744621,city8,evaluation_only
